timestamp;black;green;red
1065;380;20;3
1066;380;40;5
1067;380;60;6
1068;380;80;7
1069;380;100;6
1070;380;120;7
1071;380;140;5
1072;380;160;24
1073;380;180;22
1074;380;200;22
1075;380;220;5
1076;380;240;5
1077;380;260;7
1078;380;280;24
1079;380;300;24
1080;380;320;25
1081;380;340;25
1082;380;360;25
1083;380;380;217
1084;380;400;219
1085;380;420;220
1086;380;440;220
1087;380;460;221
1088;380;480;280
1089;380;500;280
1090;380;520;279
1091;380;540;279
1092;380;560;279
1093;380;580;278
1094;380;600;279
1095;380;620;280
1096;380;640;281
1097;380;660;281
1098;380;680;280
1099;380;700;221
1100;380;720;220
1101;380;740;220
1102;380;760;221
1103;380;780;222
1104;380;800;19
1105;380;820;19
1106;380;840;28
1107;380;860;28
1108;380;880;11
1109;380;900;10
1110;380;920;10
1111;380;940;28
1112;380;960;28
1113;380;980;28
1114;380;1000;12
1115;380;1020;11
1116;380;1040;11
1117;380;1060;11
1118;380;1080;11
1119;380;1100;11
1120;400;0;3
1121;400;20;2
1122;400;40;4
1123;400;60;5
1124;400;80;5
1125;400;100;6
1126;400;120;6
1127;400;140;6
1128;400;160;5
1129;400;180;127
1130;400;200;129
1131;400;220;128
1132;400;240;128
1133;400;260;130
1134;400;280;129
1135;400;300;130
1136;400;320;129
1137;400;340;185
1138;400;360;130
1139;400;380;215
1140;400;400;218
1141;400;420;219
1142;400;440;219
1143;400;460;220
1144;400;480;222
1145;400;500;371
1146;400;520;371
1147;400;540;368
1148;400;560;371
1149;400;580;368
1150;400;600;369
1151;400;620;372
1152;400;640;371
1153;400;660;371
1154;400;680;368
1155;400;700;218
1156;400;720;371
1157;400;740;219
1158;400;760;220
1159;400;780;220
1160;400;800;133
1161;400;820;134
1162;400;840;134
1163;400;860;135
1164;400;880;134
1165;400;900;11
1166;400;920;136
1167;400;940;133
1168;400;960;133
1169;400;980;134
1170;400;1000;136
1171;400;1020;9
1172;400;1040;10
1173;400;1060;9
1174;400;1080;9
1175;400;1100;9
1176;420;0;3
1177;420;20;4
1178;420;40;5
1179;420;60;6
1180;420;80;5
1181;420;100;6
1182;420;120;8
1183;420;140;184
1184;420;160;184
1185;420;180;183
1186;420;200;185
1187;420;220;183
1188;420;240;182
1189;420;260;185
1190;420;280;185
1191;420;300;186
1192;420;320;184
1193;420;340;186
1194;420;360;186
1195;420;380;217
1196;420;400;219
1197;420;420;219
1198;420;440;220
1199;420;460;221
1200;420;480;222
1201;420;500;371
1202;420;520;371
1203;420;540;386
1204;420;560;371
1205;420;580;369
1206;420;600;371
1207;420;620;372
1208;420;640;372
1209;420;660;387
1210;420;680;369
1211;420;700;220
1212;420;720;219
1213;420;740;219
1214;420;760;221
1215;420;780;222
1216;420;800;189
1217;420;820;190
1218;420;840;190
1219;420;860;191
1220;420;880;189
1221;420;900;188
1222;420;920;190
1223;420;940;188
1224;420;960;189
1225;420;980;189
1226;420;1000;190
1227;420;1020;9
1228;420;1040;10
1229;420;1060;10
1230;420;1080;11
1231;420;1100;9
1232;440;0;2
1233;440;20;2
1234;440;40;4
1235;440;60;20
1236;440;80;21
1237;440;100;5
1238;440;120;6
1239;440;140;183
1240;440;160;199
1241;440;180;199
1242;440;200;200
1243;440;220;186
1244;440;240;182
1245;440;260;184
1246;440;280;199
1247;440;300;200
1248;440;320;201
1249;440;340;183
1250;440;360;184
1251;440;380;216
1252;440;400;234
1253;440;420;234
1254;440;440;218
1255;440;460;220
1256;440;480;237
1257;440;500;371
1258;440;520;385
1259;440;540;386
1260;440;560;387
1261;440;580;368
1262;440;600;369
1263;440;620;372
1264;440;640;387
1265;440;660;388
1266;440;680;368
1267;440;700;219
1268;440;720;219
1269;440;740;235
1270;440;760;236
1271;440;780;219
1272;440;800;187
1273;440;820;188
1274;440;840;205
1275;440;860;204
1276;440;880;186
1277;440;900;187
1278;440;920;189
1279;440;940;204
1280;440;960;204
1281;440;980;187
1282;440;1000;25
1283;440;1020;10
1284;440;1040;9
1285;440;1060;26
1286;440;1080;25
1287;440;1100;25
1288;460;0;3
1289;460;20;3
1290;460;40;8
1291;460;60;22
1292;460;80;23
1293;460;100;10
1294;460;120;23
1295;460;140;183
1296;460;160;201
1297;460;180;199
1298;460;200;202
1299;460;220;182
1300;460;240;183
1301;460;260;185
1302;460;280;201
1303;460;300;203
1304;460;320;203
1305;460;340;184
1306;460;360;217
1307;460;380;216
1308;460;400;236
1309;460;420;237
1310;460;440;218
1311;460;460;236
1312;460;480;239
1313;460;500;371
1314;460;520;387
1315;460;540;385
1316;460;560;387
1317;460;580;387
1318;460;600;370
1319;460;620;371
1320;460;640;388
1321;460;660;388
1322;460;680;388
1323;460;700;221
1324;460;720;235
1325;460;740;237
1326;460;760;238
1327;460;780;219
1328;460;800;189
1329;460;820;192
1330;460;840;206
1331;460;860;206
1332;460;880;188
1333;460;900;188
1334;460;920;189
1335;460;940;204
1336;460;960;206
1337;460;980;188
1338;460;1000;26
1339;460;1020;27
1340;460;1040;26
1341;460;1060;27
1342;460;1080;27
1343;460;1100;12
1344;480;0;3
1345;480;20;2
1346;480;40;5
1347;480;60;5
1348;480;80;5
1349;480;100;6
1350;480;120;7
1351;480;140;183
1352;480;160;182
1353;480;180;185
1354;480;200;199
1355;480;220;183
1356;480;240;182
1357;480;260;185
1358;480;280;187
1359;480;300;201
1360;480;320;201
1361;480;340;185
1362;480;360;216
1363;480;380;215
1364;480;400;217
1365;480;420;219
1366;480;440;219
1367;480;460;219
1368;480;480;221
1369;480;500;370
1370;480;520;369
1371;480;540;368
1372;480;560;368
1373;480;580;367
1374;480;600;368
1375;480;620;371
1376;480;640;370
1377;480;660;371
1378;480;680;370
1379;480;700;217
1380;480;720;218
1381;480;740;218
1382;480;760;220
1383;480;780;219
1384;480;800;187
1385;480;820;188
1386;480;840;206
1387;480;860;206
1388;480;880;188
1389;480;900;188
1390;480;920;187
1391;480;940;187
1392;480;960;204
1393;480;980;187
